business_url,title,rate,ratings,open_days,phones,website,address,features
"https://www.google.com/maps/place/Piyashi+Restaurant+And+Bar/@23.7501205,90.3699862,14z/data=!4m17!1m10!2m9!1sBar+and+Restaurant!3m6!1sBar+and+Restaurant!2sDhaka!3s0x3755b8b087026b81:0x8fa563bbdd5904c2!4m2!1d90.4125181!2d23.810332!6e5!3m5!1s0x3755b8901d173893:0x526de57365f5a61d!8m2!3d23.750122!4d90.4029559!15sChJCYXIgYW5kIFJlc3RhdXJhbnRaFCISYmFyIGFuZCByZXN0YXVyYW50kgEDYmFymgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJWT1RWeVJqbFJSUkFC?hl=en",Piyashi Restaurant And Bar,  4.0 stars  ,900 reviews,"Friday, Closed; Saturday, 11AM to 2PM, 6 to 11PM; Sunday, 11AM to 2PM, 6 to 11PM; Monday, 11AM to 2PM, 6 to 11PM; Tuesday, 11AM to 2PM, 6 to 11PM; Wednesday, 11AM to 2PM, 6 to 11PM; Thursday, 11AM to 2PM, 6 to 11PM. Hide open hours for the week",,,"84 Shaheed Tajuddin Ahmed Ave, Dhaka ","Dine-in
·
Takeaway
·
Delivery"
"https://www.google.com/maps/place/La+Diplomat+Restaurant+%26+Bar/@23.7815939,90.3847387,14z/data=!4m17!1m10!2m9!1sBar+and+Restaurant!3m6!1sBar+and+Restaurant!2sDhaka!3s0x3755b8b087026b81:0x8fa563bbdd5904c2!4m2!1d90.4125181!2d23.810332!6e5!3m5!1s0x3755c79e95d43f69:0x10a8f5590e8d2e10!8m2!3d23.7815938!4d90.4177044!15sChJCYXIgYW5kIFJlc3RhdXJhbnRaFCISYmFyIGFuZCByZXN0YXVyYW50kgEDYmFymgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU52Y25ReVRreFJFQUU?hl=en",La Diplomat Restaurant & Bar,  4.2 stars  ,"1,940 reviews","Friday, Closed; Saturday, 11AM to 10:30PM; Sunday, 11AM to 10:30PM; Monday, 11AM to 10:30PM; Tuesday, 11AM to 10:30PM; Wednesday, 11AM to 10:30PM; Thursday, 11AM to 10:30PM. Hide open hours for the week",Phone: 01715-050336 ,,"House no: 88, 131, 58/C রোড # ২৫, Dhaka 1212 ","Dine-in
·
Takeaway
·
Delivery"
"https://www.google.com/maps/place/Ruchita+Bar+%26+Restaurant/@23.7815939,90.3847387,14z/data=!4m17!1m10!2m9!1sBar+and+Restaurant!3m6!1sBar+and+Restaurant!2sDhaka!3s0x3755b8b087026b81:0x8fa563bbdd5904c2!4m2!1d90.4125181!2d23.810332!6e5!3m5!1s0x3755c76dffc81ec3:0x379d5a2cbb22f608!8m2!3d23.7806174!4d90.4029622!15sChJCYXIgYW5kIFJlc3RhdXJhbnRaFCISYmFyIGFuZCByZXN0YXVyYW50kgENYmFyX2FuZF9ncmlsbJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSSGMzSjJOSFZCUlJBQg?hl=en",Ruchita Bar & Restaurant,  4.0 stars  ,"1,235 reviews","Friday, Closed; Saturday, 11AM to 10PM; Sunday, 11AM to 10PM; Monday, 11AM to 10PM; Tuesday, 11AM to 10PM; Wednesday, 11AM to 10PM; Thursday, 11AM to 10PM. Hide open hours for the week",,,"QCJ3+65W, Dhaka 1212 ","Dine-in
·
Takeaway
·
Delivery"
"https://www.google.com/maps/place/Canton+Chinese+Restaurant+%26+Bar/@23.7815939,90.3847387,14z/data=!4m17!1m10!2m9!1sBar+and+Restaurant!3m6!1sBar+and+Restaurant!2sDhaka!3s0x3755b8b087026b81:0x8fa563bbdd5904c2!4m2!1d90.4125181!2d23.810332!6e5!3m5!1s0x3755b93ccd025755:0x342fccdcbd623a02!8m2!3d23.758307!4d90.4175523!15sChJCYXIgYW5kIFJlc3RhdXJhbnRaFCISYmFyIGFuZCByZXN0YXVyYW50kgEDYmFymgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU41YUZsSFZXbG5SUkFC?hl=en",Canton Chinese Restaurant & Bar,  3.8 stars  ,264 reviews,"Friday, Closed; Saturday, 4 to 11PM; Sunday, 4 to 11PM; Monday, 4 to 11PM; Tuesday, 4 to 11PM; Wednesday, 4 to 11PM; Thursday, 4 to 11PM. Hide open hours for the week",,,"29 E Hazipara, Dhaka 1219 ","Dine-in
·
Takeaway"
"https://www.google.com/maps/place/Lake+View+Recreation+Club,+Gulshan-1/@23.7815939,90.3847387,14z/data=!4m17!1m10!2m9!1sBar+and+Restaurant!3m6!1sBar+and+Restaurant!2sDhaka!3s0x3755b8b087026b81:0x8fa563bbdd5904c2!4m2!1d90.4125181!2d23.810332!6e5!3m5!1s0x3755c79c1dbca743:0x7085713d3591209c!8m2!3d23.7819563!4d90.4175453!15sChJCYXIgYW5kIFJlc3RhdXJhbnRaFCISYmFyIGFuZCByZXN0YXVyYW50kgEDYmFymgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJCTFhNeVgyMUJSUkFC?hl=en","Lake View Recreation Club, Gulshan-1",  4.3 stars  ,654 reviews,"Friday, Closed; Saturday, 11AM to 10:30PM; Sunday, 11AM to 10:30PM; Monday, 11AM to 10:30PM; Tuesday, 11AM to 10:30PM; Wednesday, 11AM to 10:30PM; Thursday, 11AM to 10:30PM. Hide open hours for the week",,,"Asset Brookhaven, Rd 130, Dhaka 1212 ","Dine-in
·
Takeaway"
"https://www.google.com/maps/place/Raw+Canvas+Restaurant+%26+Bar/@23.7815939,90.3847387,14z/data=!4m17!1m10!2m9!1sBar+and+Restaurant!3m6!1sBar+and+Restaurant!2sDhaka!3s0x3755b8b087026b81:0x8fa563bbdd5904c2!4m2!1d90.4125181!2d23.810332!6e5!3m5!1s0x3755c73f0e6702e9:0x729bcdbeb5e5c03!8m2!3d23.7887092!4d90.4160895!15sChJCYXIgYW5kIFJlc3RhdXJhbnRaFCISYmFyIGFuZCByZXN0YXVyYW50kgEDYmFymgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJ4YjNaMU15MVJSUkFC?hl=en",Raw Canvas Restaurant & Bar,  4.4 stars  ,114 reviews,"Friday, Closed; Saturday, 11AM to 12AM; Sunday, 11AM to 12AM; Monday, 11AM to 12AM; Tuesday, 11AM to 12AM; Wednesday, 11AM to 12AM; Thursday, 11AM to 12AM. Hide open hours for the week",Phone: 01782-359572 ,,"4th Floor, RM Center, 101 Gulshan Ave, Dhaka 1212 ","Dine-in
·
Takeaway
No-contact delivery"
"https://www.google.com/maps/place/Chalet+Restaurant+%26+Bar/@23.7454975,90.3616117,14z/data=!4m17!1m10!2m9!1sBar+and+Restaurant!3m6!1sBar+and+Restaurant!2sDhaka!3s0x3755b8b087026b81:0x8fa563bbdd5904c2!4m2!1d90.4125181!2d23.810332!6e5!3m5!1s0x3755b8960c340433:0xc21d7dfec70f6e0a!8m2!3d23.7454975!4d90.3945707!15sChJCYXIgYW5kIFJlc3RhdXJhbnRaFCISYmFyIGFuZCByZXN0YXVyYW50kgEDYmFymgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU56Y25CbGExOTNSUkFC?hl=en",Chalet Restaurant & Bar,  4.4 stars  ,"1,959 reviews","Friday, Closed; Saturday, 11AM to 11:30PM; Sunday, 11AM to 11:30PM; Monday, 11AM to 11:30PM; Tuesday, 11AM to 11:30PM; Wednesday, 11AM to 11:30PM; Thursday, 11AM to 11:30PM. Hide open hours for the week",Phone: 01913-272236 ,,"45, Saudia Trade Center, Kazi Nazrul Islam Ave, Dhaka ","Dine-in
·
Takeaway
·
Delivery"
"https://www.google.com/maps/place/Kingfisher+Restaurant+%26+Bar/@23.7937092,90.3813535,14z/data=!4m17!1m10!2m9!1sBar+and+Restaurant!3m6!1sBar+and+Restaurant!2sDhaka!3s0x3755b8b087026b81:0x8fa563bbdd5904c2!4m2!1d90.4125181!2d23.810332!6e5!3m5!1s0x3755c770d02ee2cd:0xf612b08d8c2bfdb4!8m2!3d23.7937092!4d90.4143125!15sChJCYXIgYW5kIFJlc3RhdXJhbnRaFCISYmFyIGFuZCByZXN0YXVyYW50kgEDYmFymgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU15ZERkTFlsWlJFQUU?hl=en",Kingfisher Restaurant & Bar,  4.3 stars  ,327 reviews,"Friday, 12 to 11PM; Saturday, 12 to 11PM; Sunday, 12 to 11PM; Monday, 12 to 11PM; Tuesday, 12 to 11PM; Wednesday, 12 to 11PM; Thursday, 12 to 11PM. Hide open hours for the week",Phone: 01958-030221 ,,"33 Rd 45, Dhaka 1212 ","Dine-in
·
Takeaway"
"https://www.google.com/maps/place/Loki+Restaurant+%26+Bar/@23.7937092,90.3813535,14z/data=!4m17!1m10!2m9!1sBar+and+Restaurant!3m6!1sBar+and+Restaurant!2sDhaka!3s0x3755b8b087026b81:0x8fa563bbdd5904c2!4m2!1d90.4125181!2d23.810332!6e5!3m5!1s0x3755c7c031ebf667:0xfcffc21d393279f9!8m2!3d23.7936393!4d90.4051323!15sChJCYXIgYW5kIFJlc3RhdXJhbnRaFCISYmFyIGFuZCByZXN0YXVyYW50kgEDYmFymgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJIT0hGVVEzZG5SUkFC?hl=en",Loki Restaurant & Bar,  4.4 stars  ,132 reviews,"Friday, Closed; Saturday, 1PM to 12:30AM; Sunday, 1PM to 12:30AM; Monday, Closed; Tuesday, 1PM to 12:30AM; Wednesday, 1PM to 12:30AM; Thursday, 1PM to 2AM. Hide open hours for the week",,,"36 Kemal Ataturk Ave, Dhaka 1212 ","Dine-in
·
Takeaway"
"https://www.google.com/maps/place/Pool+Cafe,+Pan+Pacific+Sonargaon+Dhaka/@23.74907,90.361558,14z/data=!4m17!1m10!2m9!1sBar+and+Restaurant!3m6!1sBar+and+Restaurant!2sDhaka!3s0x3755b8b087026b81:0x8fa563bbdd5904c2!4m2!1d90.4125181!2d23.810332!6e5!3m5!1s0x3755b960bd9dfb51:0xd44491d16fdcacad!8m2!3d23.74907!4d90.394517!15sChJCYXIgYW5kIFJlc3RhdXJhbnRaFCISYmFyIGFuZCByZXN0YXVyYW50kgEDYmFy?hl=en","Pool Cafe, Pan Pacific Sonargaon Dhaka",  5.0 stars  ,1 review,,,,"P9XV+JRC, Pan Pacific Sonargaon Dhaka, Kazi Nazrul Islam Ave, Dhaka ",Dine-in
