query,google_place_url,business_name,business_domain,business_phone,type,sub_types,category,full_address,borough,street,city,postal_code,state,country,country_code,timezone,lat,lon,review_url,reviews_id,total_reviews,average_rating,reviews_per_score,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,working_hours,about,description,logo_url,photos_count,photo_url,street_view,price_range,business_status,is_verified,owner_title,owner_link,owner_id,reserving_table_links,booking_appointment_link,place_id,google_id,place_cid
schools near los angeles,https://www.google.com/maps?cid=17919401243491392945,The Accelerated School (TAS),accelerated.org, (323) 235-6343,Elementary school,Elementary school,Elementary school,"4000 S Main St, Los Angeles, CA 90037",South Los Angeles,4000 S Main St,Los Angeles,90037,California,United States,US,America/Los_Angeles,34.010992,-118.27343429999999,https://search.google.com/local/reviews?placeid=ChIJc3mnknLIwoARsV3_aX2Arvg&q=schools+near+los+angeles&authuser=0&hl=en&gl=US,-527342830218158671,18,4.3,"{1: 3, 2: 0, 3: 0, 4: 0, 5: 15}",3,0,0,0,15,"{'Friday': '7AM–6PM', 'Saturday': 'Closed', 'Sunday': 'Closed', 'Monday': '7AM–6PM', 'Tuesday': '7AM–6PM', 'Wednesday': '7AM–6PM', 'Thursday': '7AM–6PM'}","{'accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}",,,,,,,Operational,False,The Accelerated School (TAS) (Owner),,,,,ChIJc3mnknLIwoARsV3_aX2Arvg,0x80c2c87292a77973:0xf8ae807d69ff5db1,17919401243491392945
schools near los angeles,https://www.google.com/maps?cid=7929553035656134354,The Episcopal School of Los Angeles,es-la.com, (323) 462-3752,High school,"High school, School",High school,"6325 Santa Monica Blvd, Los Angeles, CA 90038",Hollywood,6325 Santa Monica Blvd,Los Angeles,90038,California,United States,US,America/Los_Angeles,34.0910624,-118.3275645,https://search.google.com/local/reviews?placeid=ChIJOci0ZTS_woAR0n7nLXluC24&q=schools+near+los+angeles&authuser=0&hl=en&gl=US,7929553035656134354,6,5.0,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 6}",0,0,0,0,6,,"{'accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}",,https://lh4.googleusercontent.com/-_zyys72Pry0/AAAAAAAAAAI/AAAAAAAAAAA/KwJzR9iCG78/s44-p-k-no-ns-nd/photo.jpg,,,,,Operational,True,The Episcopal School of Los Angeles (Owner),https://www.google.com/maps/contrib/114918062800030356852,114918062800030356852,,,ChIJOci0ZTS_woAR0n7nLXluC24,0x80c2bf3465b4c839:0x6e0b6e792de77ed2,7929553035656134354
schools near los angeles,https://www.google.com/maps?cid=8289540725298698677,South Los Angeles High School,, (213) 763-1000,High school,High school,High school,"1921 Maple Ave, Los Angeles, CA 90011",South Los Angeles,1921 Maple Ave,Los Angeles,90011,California,United States,US,America/Los_Angeles,34.0286402,-118.26452719999999,,8289540725298698677,,,,,,,,,,"{'accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}",,,,,,,Operational,False,South Los Angeles High School (Owner),,,,,ChIJo8GM49DHwoARtRmQql5dCnM,0x80c2c7d0e38cc1a3:0x730a5d5eaa9019b5,8289540725298698677
schools near los angeles,https://www.google.com/maps?cid=8708038312533993765,Los Angeles Leadership Academy,laleadership.org, (323) 227-7719,High school,High school,High school,"234 E Ave 33, Los Angeles, CA 90031",Lincoln Heights,234 E Ave 33,Los Angeles,90031,California,United States,US,America/Los_Angeles,34.0832445,-118.2105387,https://search.google.com/local/reviews?placeid=ChIJR1c0hYPGwoARJakURbUq2Xg&q=schools+near+los+angeles&authuser=0&hl=en&gl=US,8708038312533993765,12,4.1,"{1: 0, 2: 2, 3: 0, 4: 5, 5: 5}",0,2,0,5,5,"{'Friday': '6:37AM–6:38PM', 'Saturday': 'Closed', 'Sunday': 'Closed', 'Monday': '6:37AM–6:38PM', 'Tuesday': '6:37AM–6:38PM', 'Wednesday': '6:37AM–6:38PM', 'Thursday': '6:37AM–6:38PM'}","{'accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}",,,,,,,Operational,False,Los Angeles Leadership Academy (Owner),,,,,ChIJR1c0hYPGwoARJakURbUq2Xg,0x80c2c68385345747:0x78d92ab54514a925,8708038312533993765
schools near los angeles,https://www.google.com/maps?cid=16515351562454269393,Kipp La Prep,kippsocal.org, (323) 264-7737,Charter school,"Charter school, Middle school, School",Charter school,"2810 Whittier Blvd, Los Angeles, CA 90023",Boyle Heights,2810 Whittier Blvd,Los Angeles,90023,California,United States,US,America/Los_Angeles,34.0315687,-118.20973989999999,https://search.google.com/local/reviews?placeid=ChIJdY_tlqvIwoAR0X3HdL5QMuU&q=schools+near+los+angeles&authuser=0&hl=en&gl=US,-1931392511255282223,18,4.7,"{1: 0, 2: 1, 3: 1, 4: 1, 5: 15}",0,1,1,1,15,"{'Friday': '7:30AM–4:30PM', 'Saturday': 'Closed', 'Sunday': 'Closed', 'Monday': '7:30AM–4:30PM', 'Tuesday': '7:30AM–4:30PM', 'Wednesday': '7:30AM–4:30PM', 'Thursday': '7:30AM–4:30PM'}","{'accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}",,,5,https://lh5.googleusercontent.com/p/AF1QipN1Y037TlRx8Zt3lmZkXOItkYNjK2IZ6iXQ0DKB=w1600-h1000-k-no,,,Operational,False,Kipp La Prep (Owner),,,,,ChIJdY_tlqvIwoAR0X3HdL5QMuU,0x80c2c8ab96ed8f75:0xe53250be74c77dd1,16515351562454269393
schools near los angeles,https://www.google.com/maps?cid=8208517706394441057,Oak Crest Academy for Gifted Education,oakcrestacademy.org, (866) 782-8229,High school,"High school, Elementary school, Kindergarten, Middle school, Private educational institution",High school,"200 S Grand Ave, Los Angeles, CA 90012",Downtown Los Angeles,200 S Grand Ave,Los Angeles,90012,California,United States,US,America/Los_Angeles,34.0540087,-118.2498299,,8208517706394441057,,,,,,,,,,"{'accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}",,,,,,,Operational,False,Oak Crest Academy for Gifted Education (Owner),,,,,ChIJX1uvyafHwoARYRUlBl2D6nE,0x80c2c7a7c9af5b5f:0x71ea835d06251561,8208517706394441057
schools near los angeles,https://www.google.com/maps?cid=16278707396920926279,The Accelerated School- k-12charter,accelerated.org,,Charter school,"Charter school, High school",Charter school,"4000 S Main St, Los Angeles, CA 90037",South Los Angeles,4000 S Main St,Los Angeles,90037,California,United States,US,America/Los_Angeles,34.010732,-118.2737664,https://search.google.com/local/reviews?placeid=ChIJZaNXX3LIwoARR-D-EyGW6eE&q=schools+near+los+angeles&authuser=0&hl=en&gl=US,-2168036676788625337,4,3.0,"{1: 2, 2: 0, 3: 0, 4: 0, 5: 2}",2,0,0,0,2,"{'Friday': '6AM–6PM', 'Saturday': 'Closed', 'Sunday': 'Closed', 'Monday': '6AM–6PM', 'Tuesday': '6AM–6PM', 'Wednesday': '6AM–6PM', 'Thursday': '6AM–6PM'}","{'accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}",,,3,https://lh5.googleusercontent.com/p/AF1QipMinz4Jt-GC5LL18DtalcaKuChGlln88WyMpWEd=w1600-h1000-k-no,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8cIawNakK4ylpxDjHTr9JQ&cb_client=search.gws-prod.gps&w=1000&h=768&yaw=41.09738&pitch=0&thumbfov=100,,Operational,False,The Accelerated School- k-12charter (Owner),,,,,ChIJZaNXX3LIwoARR-D-EyGW6eE,0x80c2c8725f57a365:0xe1e9962113fee047,16278707396920926279
schools near los angeles,https://www.google.com/maps?cid=13720150858047159795,The Accelerated Charter Elementary School,accelerated.org, (323) 846-6694,Elementary school,"Elementary school, Bilingual school, Charter school",Elementary school,"3914 S Main St, Los Angeles, CA 90037",South Los Angeles,3914 S Main St,Los Angeles,90037,California,United States,US,America/Los_Angeles,34.0118843,-118.2738626,https://search.google.com/local/reviews?placeid=ChIJ7WA1UGPIwoAR8_2rToPEZ74&q=schools+near+los+angeles&authuser=0&hl=en&gl=US,-4726593215662391821,14,4.5,"{1: 1, 2: 1, 3: 0, 4: 0, 5: 12}",1,1,0,0,12,"{'Friday': '7AM–6PM', 'Saturday': 'Closed', 'Sunday': 'Closed', 'Monday': '7AM–6PM', 'Tuesday': '7AM–6PM', 'Wednesday': '7AM–6PM', 'Thursday': '7AM–6PM'}","{'accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}",,,2,https://lh5.googleusercontent.com/p/AF1QipM2JsEdU9JU_IyHDl52b9c5wZGAgyAinb2f9nl4=w1600-h1000-k-no,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-EDoGv3dv0fitLfajjF2zA&cb_client=search.gws-prod.gps&w=1000&h=768&yaw=81.64161&pitch=0&thumbfov=100,,Operational,False,The Accelerated Charter Elementary School (Owner),,,,,ChIJ7WA1UGPIwoAR8_2rToPEZ74,0x80c2c863503560ed:0xbe67c4834eabfdf3,13720150858047159795
schools near los angeles,https://www.google.com/maps?cid=4823801038713757144,Cathedral High School,cathedralhighschool.org, (323) 225-2438,High school,"High school, Parochial school, Private educational institution, School",High school,"1253 Bishops Rd, Los Angeles, CA 90012",Chinatown,1253 Bishops Rd,Los Angeles,90012,California,United States,US,America/Los_Angeles,34.0695163,-118.2348092,https://search.google.com/local/reviews?placeid=ChIJcwVqWl_GwoAR2J2xs3yV8UI&q=schools+near+los+angeles&authuser=0&hl=en&gl=US,4823801038713757144,23,4.6,"{1: 2, 2: 0, 3: 0, 4: 1, 5: 20}",2,0,0,1,20,"{'Friday': '8AM–2PM', 'Saturday': 'Closed', 'Sunday': 'Closed', 'Monday': '8AM–2PM', 'Tuesday': '8AM–2PM', 'Wednesday': '8AM–2PM', 'Thursday': '8AM–2PM'}","{'accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}",,https://lh6.googleusercontent.com/-0E6uq-SzHtg/AAAAAAAAAAI/AAAAAAAAAAA/DTeEf1ykFBo/s44-p-k-no-ns-nd/photo.jpg,42,https://lh5.googleusercontent.com/p/AF1QipMOyuRrArQc7R236N4xVWptbIbg2Dsem1WSqpaq=w1600-h1000-k-no,,,Operational,True,Cathedral High School (Owner),https://www.google.com/maps/contrib/111142303110851507988,111142303110851507988,,,ChIJcwVqWl_GwoAR2J2xs3yV8UI,0x80c2c65f5a6a0573:0x42f1957cb3b19dd8,4823801038713757144
schools near los angeles,https://www.google.com/maps?cid=6050089877938750051,Berkeley Hall School,berkeleyhall.org, (310) 476-6421,Middle school,"Middle school, Art school, Elementary school, Kindergarten, Music school, Preschool, Private educational institution, School",Middle school,"16000 Mulholland Dr, Los Angeles, CA 90049",,16000 Mulholland Dr,Los Angeles,90049,California,United States,US,America/Los_Angeles,34.128239,-118.48338899999999,https://search.google.com/local/reviews?placeid=ChIJeaE3VVS9woARY8K5cbA89lM&q=schools+near+los+angeles&authuser=0&hl=en&gl=US,6050089877938750051,10,4.6,"{1: 1, 2: 0, 3: 0, 4: 0, 5: 9}",1,0,0,0,9,"{'Friday': '7:15AM–6PM', 'Saturday': 'Closed', 'Sunday': 'Closed', 'Monday': '7:15AM–6PM', 'Tuesday': '7:15AM–6PM', 'Wednesday': '7:15AM–6PM', 'Thursday': '7:15AM–6PM'}","{'accessibility': {'Wheelchair accessible entrance': True, 'Wheelchair accessible parking lot': True}}",,https://lh6.googleusercontent.com/-AMN11bw4KeU/AAAAAAAAAAI/AAAAAAAAAAA/2LAT7gEND1U/s44-p-k-no-ns-nd/photo.jpg,15+,https://lh5.googleusercontent.com/p/AF1QipN4IiS1xjJ2RklX9iBP6mNY-dbkAhBwfGsIkUpx=w1600-h1000-k-no,,,Operational,True,Berkeley Hall School (Owner),https://www.google.com/maps/contrib/116799284289371718109,116799284289371718109,,,ChIJeaE3VVS9woARY8K5cbA89lM,0x80c2bd545537a179:0x53f63cb071b9c263,6050089877938750051
